VendorNumber,VendorName,Brand,Description,PurchasePrice,ActualPrice,Volume,TotalPurchaseQuantity,TotalPurchaseDollars,TotalSalesQuantity,TotalSalesDollars,TotalSalesPrice,TotalExciseTax,FreightCost,GrossProfit,ProfitMargin,StockTurnover,SalesToPurchaseRatio
1128,BROWN-FORMAN CORP,1233,Jack Daniels No 7 Black,26.27,36.99,1750.0,145080.0,3811251.600000111,142049.0,5101919.509999742,672819.3099999527,260999.19999999285,68601.68000000001,1290667.9099996309,25.297692514943186,0.9791080783016267,1.3386467348415396
4425,MARTIGNETTI COMPANIES,3405,Tito's Handmade Vodka,23.19,28.99,1750.0,164038.0,3804041.2199999536,160247.0,4819073.489999814,561512.3699999754,294438.659999995,144929.24,1015032.2699998603,21.0628095235771,0.9768895012131336,1.2668299871892221
17035,PERNOD RICARD USA,8068,Absolut 80 Proof,18.24,24.99,1750.0,187407.0,3418303.680000034,187140.0,4538120.599999793,461140.14999999566,343854.0699999981,123780.21999999997,1119816.9199997587,24.67578583080868,0.9985752933454993,1.3275943347431751
3960,DIAGEO NORTH AMERICA INC,4261,Capt Morgan Spiced Rum,16.17,22.99,1750.0,201682.0,3261197.94000002,200412.0,4475972.879999835,420050.01000000484,368242.79999999545,257032.07000000007,1214774.939999815,27.139908408021,0.9937029581221923,1.3724934709114307
3960,DIAGEO NORTH AMERICA INC,3545,Ketel One Vodka,21.89,29.99,1750.0,138109.0,3023206.0099999965,135838.0,4223107.619999799,545778.2799999816,249587.82999999146,257032.07000000007,1199901.6099998024,28.412764200403203,0.9835564662693959,1.3968970708680895
480,BACARDI USA INC,3858,Grey Goose Vodka,17.77,23.99,750.0,138809.0,2466635.930000039,141860.0,3383912.399999838,446932.0900000013,111699.1900000034,89286.26999999999,917276.469999799,27.106980369818174,1.0219798428055817,1.371873473034095
17035,PERNOD RICARD USA,2589,Jameson Irish Whiskey,30.76,39.99,1750.0,70783.0,2177285.0800000825,69627.0,2773367.729999884,614529.339999969,127931.66999999553,123780.21999999997,596082.6499998015,21.493098212397044,0.9836683949535906,1.2737733590677887
3960,DIAGEO NORTH AMERICA INC,3102,Smirnoff Traveler,12.94,17.99,1750.0,161386.0,2088334.8399999859,148265.0,2592041.3499999363,292586.290000021,272422.5999999959,257032.07000000007,503706.5099999504,19.432811517453715,0.9186980283295949,1.2412000701956176
3960,DIAGEO NORTH AMERICA INC,3489,Tanqueray,20.73,27.99,1750.0,91835.0,1903739.5499999446,90481.0,2640491.1899998737,503661.01999998826,166244.43999999086,257032.07000000007,736751.6399999291,27.902067720966883,0.9852561659498013,1.3870023291788787
12546,JIM BEAM BRANDS COMPANY,1376,Jim Beam,16.29,21.99,1750.0,108866.0,1773427.139999997,107061.0,2435393.3899999005,426902.78000000096,196707.34999999334,123880.96999999999,661966.2499999034,27.18108099981048,0.9834199842007606,1.3732694933268612
17035,PERNOD RICARD USA,2585,Jameson Irish Whiskey,16.42,22.99,750.0,93205.0,1530426.1000000215,91247.0,2148965.5299998876,436011.64000000246,71840.57000000242,123780.21999999997,618539.429999866,28.78312478096838,0.9789925433184915,1.4041615795756863
3960,DIAGEO NORTH AMERICA INC,2757,Johnnie Walker Red Label,22.38,29.99,1750.0,66942.0,1498161.9600000305,61433.0,1840615.6699999212,442856.19999999984,112875.18999999533,257032.07000000007,342453.70999989077,18.605389249995106,0.917704878850348,1.228582569270337
480,BACARDI USA INC,2663,Dewars White Label,21.42,29.99,1750.0,69001.0,1478001.420000022,70122.0,2189368.7799999053,495957.82999998756,128839.07999999358,89286.26999999999,711367.3599998832,32.49189293728369,1.0162461413602701,1.4813035700600834
10000,MAJESTIC FINE WINES,6570,Kendall Jackson Chard Vt RSV,6.77,10.99,750.0,215668.0,1460072.3599999887,214238.0,2326007.7799999365,189608.9600000006,24083.770000000146,17587.59,865935.4199999478,37.228397404585266,0.9933694382105829,1.5930770581808387
9165,ULTRA BEVERAGE COMPANY LLP,3650,Patron Silver Tequila,33.81,48.99,750.0,42951.0,1452173.3099999838,41639.0,2009508.6099999053,662320.0399999673,32783.09000000062,68054.70000000003,557335.2999999216,27.73490480341599,0.9694535633629019,1.383793928838926
